,index,source,target,name,osmid,access,highway,ref,oneway,junction,width,bridge,geometry,length,maxspeed,lanes,population,request,cost,node
49,79,32,36,Piazza Donatori del Sangue,166688343,,residential,,True,,,,"LINESTRING (12.0005308 45.7868237, 12.0005394 45.7866863, 12.0005474 45.78656, 12.0005704 45.786535, 12.0006139 45.7865235, 12.0009112 45.786534, 12.0009488 45.7865353)",62.26199999999999,30,,5.768859253362763,3.187664536153014,2.047477084454254,"(32, 36)"
50,80,33,127,Via Don Sturzo,28287531,,unclassified,,False,,,,,5.484,50,,0.5266808068826739,0.29102490739286213,0.1821410689608913,"(33, 127)"
51,81,33,32,Via Don Sturzo,28287531,,unclassified,,False,,,,"LINESTRING (11.999361 45.78687, 11.9999327 45.7868432, 12.0004403 45.7868267, 12.0005308 45.7868237)",90.85600000000001,50,,8.725767941307845,4.821546131671386,3.0176165137692816,"(33, 32)"
52,82,33,165,Via Molini,115786884,,residential,,False,,,,"LINESTRING (11.999361 45.78687, 11.9995728 45.7858412, 11.9995831 45.7857913)",121.17599999999999,30,,11.227510983994831,6.203919530899708,3.9848556613316104,"(33, 165)"
53,83,34,233,Via Fra' Giocondo,27453573,,unclassified,,False,,,,"LINESTRING (12.0008831 45.7858583, 12.0008687 45.78576, 12.0007592 45.7844664)",155.079,50,,14.893714961808568,8.229732241717299,5.150666453936189,"(34, 233)"
54,84,34,36,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0008831 45.7858583, 12.0008976 45.7859794, 12.0008988 45.7860534, 12.0009 45.7862114, 12.000905 45.7863183, 12.0009069 45.7863932, 12.0009234 45.7864589, 12.0009488 45.7865353)",75.672,50,,7.267503650332913,4.015761632427546,2.5133076167776376,"(34, 36)"
55,87,35,36,Via Piave,27454547,,unclassified,,False,,,,,31.285,50,,3.004596835033635,1.6602323537173036,1.039074278344545,"(35, 36)"
56,88,35,32,Piazza Donatori del Sangue,166688343,,residential,,True,,,,,39.453,30,,3.6555010138273927,2.0198986371277003,1.297406337942464,"(35, 32)"
57,89,35,65,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0010392 45.7868095, 12.00107 45.78688, 12.00112 45.78709, 12.00114 45.78731, 12.0011379 45.7875653)",84.767,50,,8.140983216087458,4.498415084786788,2.8153814720291526,"(35, 65)"
58,90,36,35,Via Piave,27454547,,unclassified,,False,,,,,31.285,50,,3.004596835033635,1.6602323537173036,1.039074278344545,"(36, 35)"
